t, dzdt2, dzdt, z, u
0.000,9.807,-0.010,49.000,75.115
0.001,-65.308,0.056,49.000,71.837
0.002,-62.030,0.118,49.000,71.991
0.003,-62.185,0.180,49.000,71.973
0.004,-62.166,0.242,49.001,71.963
0.005,-62.156,0.304,49.001,71.952
0.006,-62.145,0.366,49.001,71.940
0.007,-62.133,0.428,49.002,71.928
0.008,-62.121,0.490,49.002,71.915
0.009,-62.108,0.553,49.003,71.902
0.010,-62.095,0.615,49.003,71.888
0.011,-62.081,0.677,49.004,71.873
0.012,-62.067,0.739,49.005,71.858
0.013,-62.052,0.801,49.006,71.843
0.014,-62.036,0.863,49.006,71.827
0.015,-62.020,0.925,49.007,71.810
0.016,-62.004,0.987,49.008,71.793
0.017,-61.986,1.049,49.009,71.775
0.018,-61.969,1.111,49.010,71.757
0.019,-61.951,1.173,49.012,71.738
0.020,-61.932,1.235,49.013,71.719
0.021,-61.912,1.297,49.014,71.699
0.022,-61.893,1.359,49.016,71.679
0.023,-61.872,1.420,49.017,71.658
0.024,-61.851,1.482,49.018,71.637
0.025,-61.830,1.544,49.020,71.615
0.026,-61.808,1.606,49.022,71.592
0.027,-61.785,1.668,49.023,71.569
0.028,-61.762,1.729,49.025,71.545
0.029,-61.739,1.791,49.027,71.521
0.030,-61.715,1.853,49.029,71.496
0.031,-61.690,1.915,49.031,71.471
0.032,-61.665,1.976,49.033,71.446
0.033,-61.639,2.038,49.035,71.419
0.034,-61.613,2.100,49.037,71.392
0.035,-61.586,2.161,49.039,71.365
0.036,-61.558,2.223,49.041,71.337
0.037,-61.531,2.284,49.043,71.309
0.038,-61.502,2.346,49.046,71.280
0.039,-61.473,2.407,49.048,71.250
0.040,-61.444,2.469,49.051,71.220
0.041,-61.414,2.530,49.053,71.190
0.042,-61.383,2.591,49.056,71.159
0.043,-61.352,2.653,49.058,71.127
0.044,-61.320,2.714,49.061,71.095
0.045,-61.288,2.775,49.064,71.062
0.046,-61.256,2.837,49.067,71.029
0.047,-61.223,2.898,49.070,70.995
0.048,-61.189,2.959,49.073,70.961
0.049,-61.155,3.020,49.076,70.926
0.050,-61.120,3.081,49.079,70.891
0.051,-61.085,3.142,49.082,70.855
0.052,-61.049,3.203,49.085,70.819
0.053,-61.012,3.264,49.088,70.782
0.054,-60.976,3.325,49.092,70.745
0.055,-60.938,3.386,49.095,70.707
0.056,-60.900,3.447,49.098,70.669
0.057,-60.862,3.508,49.102,70.630
0.058,-60.823,3.569,49.105,70.590
0.059,-60.783,3.630,49.109,70.550
0.060,-60.744,3.690,49.113,70.510
0.061,-60.703,3.751,49.117,70.469
0.062,-60.662,3.812,49.120,70.427
0.063,-60.620,3.872,49.124,70.385
0.064,-60.578,3.933,49.128,70.343
0.065,-60.536,3.994,49.132,70.299
0.066,-60.493,4.054,49.136,70.256
0.067,-60.449,4.115,49.140,70.212
0.068,-60.405,4.175,49.144,70.167
0.069,-60.361,4.235,49.149,70.122
0.070,-60.315,4.296,49.153,70.076
0.071,-60.270,4.356,49.157,70.030
0.072,-60.224,4.416,49.162,69.984
0.073,-60.177,4.476,49.166,69.936
0.074,-60.130,4.536,49.171,69.889
0.075,-60.082,4.596,49.175,69.841
0.076,-60.034,4.657,49.180,69.792
0.077,-59.985,4.717,49.185,69.743
0.078,-59.936,4.776,49.190,69.693
0.079,-59.886,4.836,49.194,69.643
0.080,-59.836,4.896,49.199,69.592
0.081,-59.785,4.956,49.204,69.541
0.082,-59.734,5.016,49.209,69.489
0.083,-59.683,5.075,49.214,69.437
0.084,-59.630,5.135,49.219,69.384
0.085,-59.578,5.195,49.225,69.331
0.086,-59.524,5.254,49.230,69.277
0.087,-59.471,5.314,49.235,69.223
0.088,-59.416,5.373,49.241,69.168
0.089,-59.362,5.432,49.246,69.113
0.090,-59.306,5.492,49.252,69.057
0.091,-59.251,5.551,49.257,69.001
0.092,-59.195,5.610,49.263,68.945
0.093,-59.138,5.669,49.268,68.887
0.094,-59.081,5.728,49.274,68.830
0.095,-59.023,5.787,49.280,68.771
