t, dzdt2, dzdt, z, u
0.000,9.807,-0.010,50.000,75.115
0.001,-65.308,0.056,50.000,71.837
0.002,-62.030,0.118,50.000,71.991
0.003,-62.185,0.180,50.000,71.973
0.004,-62.166,0.242,50.001,71.963
0.005,-62.156,0.304,50.001,71.952
0.006,-62.145,0.366,50.001,71.940
0.007,-62.133,0.428,50.002,71.928
0.008,-62.121,0.490,50.002,71.915
0.009,-62.108,0.553,50.003,71.902
0.010,-62.095,0.615,50.003,71.888
0.011,-62.081,0.677,50.004,71.873
0.012,-62.067,0.739,50.005,71.858
0.013,-62.052,0.801,50.006,71.843
0.014,-62.036,0.863,50.006,71.827
0.015,-62.020,0.925,50.007,71.810
0.016,-62.004,0.987,50.008,71.793
0.017,-61.986,1.049,50.009,71.775
0.018,-61.969,1.111,50.010,71.757
0.019,-61.951,1.173,50.012,71.738
0.020,-61.932,1.235,50.013,71.719
0.021,-61.912,1.297,50.014,71.699
0.022,-61.893,1.359,50.016,71.679
0.023,-61.872,1.420,50.017,71.658
0.024,-61.851,1.482,50.018,71.637
0.025,-61.830,1.544,50.020,71.615
0.026,-61.808,1.606,50.022,71.592
0.027,-61.785,1.668,50.023,71.569
0.028,-61.762,1.729,50.025,71.545
0.029,-61.739,1.791,50.027,71.521
0.030,-61.715,1.853,50.029,71.496
0.031,-61.690,1.915,50.031,71.471
0.032,-61.665,1.976,50.033,71.446
0.033,-61.639,2.038,50.035,71.419
0.034,-61.613,2.100,50.037,71.392
0.035,-61.586,2.161,50.039,71.365
0.036,-61.558,2.223,50.041,71.337
0.037,-61.531,2.284,50.043,71.309
0.038,-61.502,2.346,50.046,71.280
0.039,-61.473,2.407,50.048,71.250
0.040,-61.444,2.469,50.051,71.220
0.041,-61.414,2.530,50.053,71.190
0.042,-61.383,2.591,50.056,71.159
0.043,-61.352,2.653,50.058,71.127
0.044,-61.320,2.714,50.061,71.095
0.045,-61.288,2.775,50.064,71.062
0.046,-61.256,2.837,50.067,71.029
0.047,-61.223,2.898,50.070,70.995
0.048,-61.189,2.959,50.073,70.961
0.049,-61.155,3.020,50.076,70.926
0.050,-61.120,3.081,50.079,70.891
0.051,-61.085,3.142,50.082,70.855
0.052,-61.049,3.203,50.085,70.819
0.053,-61.012,3.264,50.088,70.782
0.054,-60.976,3.325,50.092,70.745
0.055,-60.938,3.386,50.095,70.707
0.056,-60.900,3.447,50.098,70.669
0.057,-60.862,3.508,50.102,70.630
0.058,-60.823,3.569,50.105,70.590
0.059,-60.783,3.630,50.109,70.550
0.060,-60.744,3.690,50.113,70.510
0.061,-60.703,3.751,50.117,70.469
0.062,-60.662,3.812,50.120,70.427
0.063,-60.620,3.872,50.124,70.385
0.064,-60.578,3.933,50.128,70.343
0.065,-60.536,3.994,50.132,70.299
0.066,-60.493,4.054,50.136,70.256
0.067,-60.449,4.115,50.140,70.212
0.068,-60.405,4.175,50.144,70.167
0.069,-60.361,4.235,50.149,70.122
0.070,-60.315,4.296,50.153,70.076
0.071,-60.270,4.356,50.157,70.030
0.072,-60.224,4.416,50.162,69.984
0.073,-60.177,4.476,50.166,69.936
0.074,-60.130,4.536,50.171,69.889
0.075,-60.082,4.596,50.175,69.841
0.076,-60.034,4.657,50.180,69.792
0.077,-59.985,4.717,50.185,69.743
0.078,-59.936,4.776,50.190,69.693
0.079,-59.886,4.836,50.194,69.643
0.080,-59.836,4.896,50.199,69.592
0.081,-59.785,4.956,50.204,69.541
0.082,-59.734,5.016,50.209,69.489
0.083,-59.683,5.075,50.214,69.437
0.084,-59.630,5.135,50.219,69.384
0.085,-59.578,5.195,50.225,69.331
0.086,-59.524,5.254,50.230,69.277
0.087,-59.471,5.314,50.235,69.223
0.088,-59.416,5.373,50.241,69.168
0.089,-59.362,5.432,50.246,69.113
0.090,-59.306,5.492,50.252,69.057
0.091,-59.251,5.551,50.257,69.001
0.092,-59.195,5.610,50.263,68.945
0.093,-59.138,5.669,50.268,68.887
0.094,-59.081,5.728,50.274,68.830
0.095,-59.023,5.787,50.280,68.771
0.096,-58.965,5.846,50.286,68.713
0.097,-58.906,5.905,50.292,68.654
0.098,-58.847,5.964,50.298,68.594
0.099,-58.787,6.023,50.304,68.534
0.100,-58.727,6.082,50.310,68.473
0.101,-58.667,6.140,50.316,68.412
0.102,-58.605,6.199,50.322,68.350
0.103,-58.544,6.257,50.328,68.288
0.104,-58.482,6.316,50.335,68.226
0.105,-58.419,6.374,50.341,68.163
0.106,-58.356,6.433,50.347,68.099
0.107,-58.292,6.491,50.354,68.035
0.108,-58.228,6.549,50.360,67.924
0.109,-58.117,6.607,50.367,67.778
0.110,-57.972,6.665,50.374,67.634
0.111,-57.828,6.723,50.380,67.490
0.112,-57.683,6.781,50.387,67.345
0.113,-57.539,6.838,50.394,67.201
0.114,-57.394,6.896,50.401,67.056
0.115,-57.249,6.953,50.408,66.910
0.116,-57.104,7.010,50.415,66.765
0.117,-56.959,7.067,50.422,66.620
0.118,-56.813,7.124,50.429,66.474
0.119,-56.668,7.180,50.436,66.329
0.120,-56.522,7.237,50.444,66.183
0.121,-56.376,7.293,50.451,66.037
0.122,-56.230,7.350,50.458,65.890
0.123,-56.084,7.406,50.466,65.744
0.124,-55.937,7.462,50.473,65.597
0.125,-55.791,7.517,50.481,65.451
0.126,-55.644,7.573,50.488,65.304
0.127,-55.497,7.629,50.496,65.157
0.128,-55.350,7.684,50.503,65.010
0.129,-55.203,7.739,50.511,64.862
0.130,-55.056,7.794,50.519,64.715
0.131,-54.908,7.849,50.527,64.567
0.132,-54.761,7.904,50.535,64.420
0.133,-54.613,7.958,50.543,64.272
0.134,-54.465,8.013,50.551,64.124
0.135,-54.317,8.067,50.559,63.976
0.136,-54.169,8.121,50.567,63.827
0.137,-54.021,8.175,50.575,63.679
0.138,-53.872,8.229,50.583,63.530
0.139,-53.724,8.283,50.592,63.382
0.140,-53.575,8.337,50.600,63.233
0.141,-53.426,8.390,50.608,63.084
0.142,-53.277,8.443,50.617,62.935
0.143,-53.128,8.496,50.625,62.785
0.144,-52.979,8.549,50.634,62.636
0.145,-52.829,8.602,50.642,62.487
0.146,-52.680,8.655,50.651,62.337
0.147,-52.530,8.707,50.660,62.187
0.148,-52.381,8.760,50.669,62.037
0.149,-52.231,8.812,50.677,61.887
0.150,-52.081,8.864,50.686,61.737
0.151,-51.931,8.916,50.695,61.587
0.152,-51.780,8.968,50.704,61.437
0.153,-51.630,9.019,50.713,61.286
0.154,-51.479,9.071,50.722,61.136
0.155,-51.329,9.122,50.731,60.985
0.156,-51.178,9.173,50.740,60.834
0.157,-51.027,9.224,50.750,60.683
0.158,-50.876,9.275,50.759,60.532
0.159,-50.725,9.326,50.768,60.381
0.160,-50.574,9.377,50.778,60.230
0.161,-50.423,9.427,50.787,60.078
0.162,-50.272,9.477,50.797,59.927
0.163,-50.120,9.527,50.806,59.775
0.164,-49.968,9.577,50.816,59.623
0.165,-49.817,9.627,50.825,59.472
0.166,-49.665,9.677,50.835,59.320
0.167,-49.513,9.726,50.845,59.168
0.168,-49.361,9.776,50.854,59.016
0.169,-49.209,9.825,50.864,58.863
0.170,-49.057,9.874,50.874,58.711
0.171,-48.904,9.923,50.884,58.559
0.172,-48.752,9.972,50.894,58.406
0.173,-48.600,10.020,50.904,58.254
0.174,-48.447,10.069,50.914,58.101
0.175,-48.294,10.117,50.924,57.948
0.176,-48.142,10.165,50.934,57.795
0.177,-47.989,10.213,50.945,57.642
0.178,-47.836,10.261,50.955,57.489
0.179,-47.683,10.309,50.965,57.336
0.180,-47.530,10.356,50.976,57.183
0.181,-47.376,10.404,50.986,57.030
0.182,-47.223,10.451,50.996,56.876
0.183,-47.070,10.498,51.007,56.723
0.184,-46.916,10.545,51.017,56.570
0.185,-46.763,10.592,51.028,56.416
0.186,-46.609,10.638,51.039,56.262
0.187,-46.456,10.685,51.049,56.108
0.188,-46.302,10.731,51.060,55.955
0.189,-46.148,10.777,51.071,55.801
0.190,-45.994,10.823,51.082,55.647
0.191,-45.840,10.869,51.093,55.493
0.192,-45.686,10.915,51.104,55.339
0.193,-45.532,10.960,51.114,55.184
0.194,-45.378,11.006,51.125,55.030
0.195,-45.224,11.051,51.137,54.876
0.196,-45.069,11.096,51.148,54.722
0.197,-44.915,11.141,51.159,54.567
0.198,-44.760,11.186,51.170,54.413
0.199,-44.606,11.230,51.181,54.258
0.200,-44.451,11.275,51.192,54.103
0.201,-44.297,11.319,51.204,53.949
0.202,-44.142,11.363,51.215,53.794
0.203,-43.987,11.407,51.227,53.639
0.204,-43.833,11.451,51.238,53.484
0.205,-43.678,11.495,51.249,53.329
0.206,-43.523,11.538,51.261,53.175
0.207,-43.368,11.581,51.273,53.020
0.208,-43.213,11.625,51.284,52.864
0.209,-43.058,11.668,51.296,52.709
0.210,-42.903,11.711,51.308,52.554
0.211,-42.748,11.753,51.319,52.399
0.212,-42.592,11.796,51.331,52.244
0.213,-42.437,11.838,51.343,52.088
0.214,-42.282,11.881,51.355,51.933
0.215,-42.126,11.923,51.367,51.778
0.216,-41.971,11.965,51.379,51.622
0.217,-41.816,12.007,51.391,51.467
0.218,-41.660,12.048,51.403,51.311
0.219,-41.505,12.090,51.415,51.156
0.220,-41.349,12.131,51.427,51.000
0.221,-41.194,12.172,51.439,50.845
0.222,-41.038,12.213,51.451,50.689
0.223,-40.882,12.254,51.464,50.533
0.224,-40.727,12.295,51.476,50.378
0.225,-40.571,12.335,51.488,50.222
0.226,-40.415,12.376,51.501,50.066
0.227,-40.260,12.416,51.513,49.910
0.228,-40.104,12.456,51.526,49.755
0.229,-39.948,12.496,51.538,49.599
0.230,-39.792,12.536,51.551,49.443
0.231,-39.636,12.576,51.563,49.287
0.232,-39.480,12.615,51.576,49.131
0.233,-39.324,12.654,51.588,48.975
0.234,-39.169,12.694,51.601,48.819
0.235,-39.013,12.733,51.614,48.663
0.236,-38.857,12.771,51.627,48.507
0.237,-38.701,12.810,51.639,48.351
0.238,-38.545,12.849,51.652,48.195
0.239,-38.389,12.887,51.665,48.039
0.240,-38.233,12.925,51.678,47.883
0.241,-38.077,12.963,51.691,47.727
0.242,-37.920,13.001,51.704,47.571
0.243,-37.764,13.039,51.717,47.415
0.244,-37.608,13.077,51.730,47.259
0.245,-37.452,13.114,51.743,47.103
0.246,-37.296,13.151,51.756,46.947
0.247,-37.140,13.189,51.770,46.791
0.248,-36.984,13.226,51.783,46.634
0.249,-36.828,13.262,51.796,46.478
0.250,-36.672,13.299,51.809,46.322
0.251,-36.516,13.336,51.823,46.166
0.252,-36.359,13.372,51.836,46.010
0.253,-36.203,13.408,51.850,45.854
0.254,-36.047,13.444,51.863,45.698
0.255,-35.891,13.480,51.876,45.542
0.256,-35.735,13.516,51.890,45.386
0.257,-35.579,13.551,51.904,45.229
0.258,-35.423,13.587,51.917,45.073
0.259,-35.267,13.622,51.931,44.917
0.260,-35.111,13.657,51.944,44.761
0.261,-34.955,13.692,51.958,44.605
0.262,-34.799,13.727,51.972,44.449
0.263,-34.642,13.762,51.986,44.293
0.264,-34.486,13.796,51.999,44.137
0.265,-34.330,13.830,52.013,43.981
0.266,-34.174,13.865,52.027,43.825
0.267,-34.018,13.899,52.041,43.669
0.268,-33.862,13.932,52.055,43.513
0.269,-33.707,13.966,52.069,43.357
0.270,-33.551,14.000,52.083,43.201
0.271,-33.395,14.033,52.097,43.045
0.272,-33.239,14.066,52.111,42.890
0.273,-33.083,14.099,52.125,42.734
0.274,-32.927,14.132,52.139,42.578
0.275,-32.771,14.165,52.153,42.422
0.276,-32.615,14.198,52.168,42.266
0.277,-32.460,14.230,52.182,42.111
0.278,-32.304,14.263,52.196,41.955
0.279,-32.148,14.295,52.210,41.799
