t, dzdt2, dzdt, z, u
0.000,9.807,-0.010,60.000,-75.085
0.001,84.892,-0.095,60.000,-70.789
0.002,80.595,-0.175,60.000,-70.961
0.003,80.767,-0.256,59.999,-70.908
0.004,80.715,-0.337,59.999,-70.867
0.005,80.673,-0.417,59.999,-70.824
0.006,80.630,-0.498,59.998,-70.780
0.007,80.586,-0.579,59.998,-70.735
0.008,80.542,-0.659,59.997,-70.690
0.009,80.497,-0.740,59.996,-70.645
0.010,80.451,-0.820,59.995,-70.598
0.011,80.405,-0.901,59.995,-70.551
0.012,80.358,-0.981,59.994,-70.504
0.013,80.310,-1.061,59.992,-70.455
0.014,80.262,-1.141,59.991,-70.406
0.015,80.213,-1.222,59.990,-70.357
0.016,80.163,-1.302,59.989,-70.307
0.017,80.113,-1.382,59.987,-70.256
0.018,80.062,-1.462,59.986,-70.204
0.019,80.011,-1.542,59.984,-70.152
0.020,79.958,-1.622,59.983,-70.099
0.021,79.906,-1.702,59.981,-70.045
0.022,79.852,-1.782,59.979,-69.991
0.023,79.798,-1.862,59.977,-69.936
0.024,79.743,-1.941,59.976,-69.881
0.025,79.687,-2.021,59.973,-69.825
0.026,79.631,-2.101,59.971,-69.768
0.027,79.574,-2.180,59.969,-69.710
0.028,79.517,-2.260,59.967,-69.652
0.029,79.459,-2.339,59.965,-69.594
0.030,79.400,-2.419,59.962,-69.534
0.031,79.341,-2.498,59.960,-69.474
0.032,79.281,-2.577,59.957,-69.414
0.033,79.220,-2.656,59.954,-69.352
0.034,79.159,-2.736,59.952,-69.290
0.035,79.097,-2.815,59.949,-69.228
0.036,79.034,-2.894,59.946,-69.165
0.037,78.971,-2.973,59.943,-69.101
0.038,78.907,-3.052,59.940,-69.036
0.039,78.843,-3.130,59.937,-68.971
0.040,78.778,-3.209,59.934,-68.905
0.041,78.712,-3.288,59.930,-68.839
0.042,78.646,-3.367,59.927,-68.772
0.043,78.579,-3.445,59.924,-68.704
0.044,78.511,-3.524,59.920,-68.636
0.045,78.443,-3.602,59.916,-68.567
0.046,78.374,-3.680,59.913,-68.498
0.047,78.304,-3.759,59.909,-68.427
0.048,78.234,-3.837,59.905,-68.357
0.049,78.163,-3.915,59.901,-68.285
0.050,78.092,-3.993,59.897,-68.213
0.051,78.020,-4.071,59.893,-68.140
0.052,77.947,-4.149,59.889,-68.067
0.053,77.874,-4.227,59.885,-67.993
0.054,77.800,-4.305,59.880,-67.919
0.055,77.725,-4.383,59.876,-67.843
0.056,77.650,-4.460,59.872,-67.768
0.057,77.574,-4.538,59.867,-67.691
0.058,77.498,-4.615,59.862,-67.614
0.059,77.421,-4.693,59.858,-67.537
0.060,77.343,-4.770,59.853,-67.458
0.061,77.265,-4.847,59.848,-67.379
0.062,77.186,-4.925,59.843,-67.300
0.063,77.107,-5.002,59.838,-67.220
0.064,77.027,-5.079,59.833,-67.139
0.065,76.946,-5.156,59.828,-67.058
0.066,76.865,-5.233,59.823,-66.976
0.067,76.783,-5.309,59.817,-66.893
0.068,76.700,-5.386,59.812,-66.810
0.069,76.617,-5.463,59.807,-66.727
0.070,76.533,-5.539,59.801,-66.642
0.071,76.449,-5.616,59.795,-66.557
0.072,76.364,-5.692,59.790,-66.472
0.073,76.278,-5.768,59.784,-66.385
0.074,76.192,-5.844,59.778,-66.299
0.075,76.105,-5.921,59.772,-66.211
0.076,76.018,-5.997,59.766,-66.123
