t, dzdt2, dzdt, z, u
0.000,9.807,-0.010,100.000,-375.485
0.001,385.292,-0.395,100.000,-356.040
0.002,365.847,-0.761,99.999,-356.865
0.003,366.672,-1.128,99.998,-356.671
0.004,366.478,-1.494,99.996,-356.525
0.005,366.332,-1.860,99.994,-356.374
0.006,366.181,-2.227,99.992,-356.219
0.007,366.026,-2.593,99.990,-356.062
0.008,365.868,-2.959,99.987,-355.901
0.009,365.708,-3.324,99.983,-355.737
0.010,365.544,-3.690,99.980,-355.571
0.011,365.377,-4.055,99.976,-355.401
0.012,365.208,-4.420,99.971,-355.228
0.013,365.035,-4.785,99.966,-355.052
0.014,364.859,-5.150,99.961,-354.873
0.015,364.680,-5.515,99.956,-354.691
0.016,364.498,-5.879,99.950,-354.506
0.017,364.312,-6.244,99.944,-354.318
0.018,364.124,-6.608,99.937,-354.126
0.019,363.933,-6.972,99.930,-353.932
0.020,363.739,-7.336,99.923,-353.395
0.021,363.202,-7.699,99.915,-352.729
0.022,362.536,-8.061,99.907,-352.067
0.023,361.874,-8.423,99.898,-351.404
0.024,361.211,-8.784,99.890,-350.739
0.025,360.546,-9.145,99.880,-350.073
0.026,359.879,-9.505,99.871,-349.405
0.027,359.212,-9.864,99.861,-348.736
0.028,358.542,-10.223,99.851,-348.065
0.029,357.872,-10.580,99.840,-347.393
0.030,357.200,-10.938,99.829,-346.720
0.031,356.526,-11.294,99.818,-346.045
0.032,355.851,-11.650,99.806,-345.368
0.033,355.175,-12.005,99.794,-344.690
0.034,354.497,-12.360,99.782,-344.011
0.035,353.818,-12.713,99.769,-343.331
0.036,353.137,-13.067,99.756,-342.649
0.037,352.455,-13.419,99.743,-341.965
0.038,351.772,-13.771,99.729,-341.281
0.039,351.087,-14.122,99.715,-340.595
0.040,350.401,-14.472,99.701,-339.907
0.041,349.714,-14.822,99.686,-339.218
0.042,349.025,-15.171,99.671,-338.528
0.043,348.335,-15.519,99.655,-337.837
0.044,347.643,-15.867,99.639,-337.144
0.045,346.951,-16.214,99.623,-336.450
0.046,346.256,-16.560,99.606,-335.754
0.047,345.561,-16.906,99.589,-335.058
0.048,344.864,-17.251,99.572,-334.360
0.049,344.166,-17.595,99.555,-333.660
0.050,343.467,-17.938,99.537,-332.960
0.051,342.766,-18.281,99.518,-332.258
0.052,342.064,-18.623,99.500,-331.554
0.053,341.361,-18.964,99.481,-330.850
0.054,340.657,-19.305,99.461,-330.144
0.055,339.951,-19.645,99.442,-329.437
0.056,339.244,-19.984,99.422,-328.729
0.057,338.536,-20.323,99.402,-328.020
0.058,337.826,-20.661,99.381,-327.309
0.059,337.116,-20.998,99.360,-326.597
0.060,336.404,-21.334,99.339,-325.884
0.061,335.691,-21.670,99.317,-325.170
0.062,334.976,-22.005,99.295,-324.454
0.063,334.261,-22.339,99.273,-323.737
0.064,333.544,-22.673,99.250,-323.019
0.065,332.826,-23.006,99.227,-322.300
0.066,332.107,-23.338,99.204,-321.580
0.067,331.387,-23.669,99.180,-320.859
0.068,330.665,-24.000,99.156,-320.136
0.069,329.943,-24.330,99.132,-319.412
0.070,329.219,-24.659,99.107,-318.687
0.071,328.494,-24.987,99.082,-317.961
0.072,327.768,-25.315,99.057,-317.234
0.073,327.041,-25.642,99.031,-316.506
0.074,326.313,-25.968,99.005,-315.777
0.075,325.583,-26.294,98.979,-315.046
0.076,324.853,-26.619,98.952,-314.315
0.077,324.121,-26.943,98.925,-313.582
0.078,323.388,-27.266,98.898,-312.848
0.079,322.655,-27.589,98.870,-312.113
0.080,321.920,-27.911,98.842,-311.377
0.081,321.184,-28.232,98.814,-310.640
0.082,320.447,-28.553,98.786,-309.902
0.083,319.709,-28.872,98.757,-309.163
0.084,318.970,-29.191,98.727,-308.423
0.085,318.229,-29.510,98.698,-307.682
0.086,317.488,-29.827,98.668,-306.939
0.087,316.746,-30.144,98.638,-306.196
0.088,316.003,-30.460,98.608,-305.452
0.089,315.258,-30.775,98.577,-304.706
0.090,314.513,-31.090,98.546,-303.960
0.091,313.767,-31.403,98.514,-303.213
0.092,313.020,-31.716,98.483,-302.465
0.093,312.271,-32.029,98.451,-301.715
